transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl
0 0 5 1
0.05 0 10 5
0.1 0 15 15
0.15 0 14 19
0.2 0 12 19
0.25 0 11 19
0.3 0 10 19
0.35 0 9 19
0.4 0 9 20
0.45 0 9 20
0.5 0 8 20
0.55 0 8 20
0.6 0 8 20
0.65 0 8 20
0.7 0 8 20
0.75 0 8 20
0.8 0 7 20
0.85 0 7 20
0.9 0 7 20
0.95 0 7 20
1 0 7 20
0 0.05 5 2
0.05 0.05 11 6
0.1 0.05 15 13
0.15 0.05 13 18
0.2 0.05 12 19
0.25 0.05 11 19
0.3 0.05 10 19
0.35 0.05 9 20
0.4 0.05 9 19
0.45 0.05 9 20
0.5 0.05 8 19
0.55 0.05 8 20
0.6 0.05 8 20
0.65 0.05 8 20
0.7 0.05 8 20
0.75 0.05 8 20
0.8 0.05 8 20
0.85 0.05 7 20
0.9 0.05 7 20
0.95 0.05 7 20
1 0.05 7 20
0 0.1 5 3
0.05 0.1 9 6
0.1 0.1 15 15
0.15 0.1 14 19
0.2 0.1 12 19
0.25 0.1 11 19
0.3 0.1 10 19
0.35 0.1 10 19
0.4 0.1 9 19
0.45 0.1 9 20
0.5 0.1 9 20
0.55 0.1 8 20
0.6 0.1 8 20
0.65 0.1 8 20
0.7 0.1 8 20
0.75 0.1 8 20
0.8 0.1 8 20
0.85 0.1 7 20
0.9 0.1 7 20
0.95 0.1 7 20
1 0.1 7 20
0 0.15 5 4
0.05 0.15 9 6
0.1 0.15 14 13
0.15 0.15 14 17
0.2 0.15 12 19
0.25 0.15 11 19
0.3 0.15 10 19
0.35 0.15 10 19
0.4 0.15 9 19
0.45 0.15 9 20
0.5 0.15 8 20
0.55 0.15 8 20
0.6 0.15 8 20
0.65 0.15 8 20
0.7 0.15 8 20
0.75 0.15 8 20
0.8 0.15 8 20
0.85 0.15 7 20
0.9 0.15 7 20
0.95 0.15 7 20
1 0.15 7 20
0 0.2 5 5
0.05 0.2 9 7
0.1 0.2 14 13
0.15 0.2 14 18
0.2 0.2 12 19
0.25 0.2 11 19
0.3 0.2 10 19
0.35 0.2 10 19
0.4 0.2 9 19
0.45 0.2 9 20
0.5 0.2 9 19
0.55 0.2 8 20
0.6 0.2 8 20
0.65 0.2 8 20
0.7 0.2 8 20
0.75 0.2 8 20
0.8 0.2 8 20
0.85 0.2 7 20
0.9 0.2 7 20
0.95 0.2 7 20
1 0.2 7 20
0 0.25 5 6
0.05 0.25 9 8
0.1 0.25 12 13
0.15 0.25 14 17
0.2 0.25 13 19
0.25 0.25 12 19
0.3 0.25 11 19
0.35 0.25 10 19
0.4 0.25 9 19
0.45 0.25 9 19
0.5 0.25 9 19
0.55 0.25 8 20
0.6 0.25 8 20
0.65 0.25 8 20
0.7 0.25 8 20
0.75 0.25 8 20
0.8 0.25 8 20
0.85 0.25 8 20
0.9 0.25 7 20
0.95 0.25 7 20
1 0.25 7 20
0 0.3 5 7
0.05 0.3 8 8
0.1 0.3 13 13
0.15 0.3 14 17
0.2 0.3 13 18
0.25 0.3 12 19
0.3 0.3 11 19
0.35 0.3 10 19
0.4 0.3 9 19
0.45 0.3 9 19
0.5 0.3 9 20
0.55 0.3 8 20
0.6 0.3 8 20
0.65 0.3 8 20
0.7 0.3 8 20
0.75 0.3 8 20
0.8 0.3 8 20
0.85 0.3 8 20
0.9 0.3 7 20
0.95 0.3 7 20
1 0.3 7 20
0 0.35 5 8
0.05 0.35 7 9
0.1 0.35 11 13
0.15 0.35 14 17
0.2 0.35 13 18
0.25 0.35 12 19
0.3 0.35 11 19
0.35 0.35 10 19
0.4 0.35 9 19
0.45 0.35 9 19
0.5 0.35 9 20
0.55 0.35 8 19
0.6 0.35 8 20
0.65 0.35 8 20
0.7 0.35 8 20
0.75 0.35 8 20
0.8 0.35 8 20
0.85 0.35 8 20
0.9 0.35 7 20
0.95 0.35 7 20
1 0.35 7 20
0 0.4 5 9
0.05 0.4 7 10
0.1 0.4 11 13
0.15 0.4 13 16
0.2 0.4 13 18
0.25 0.4 12 19
0.3 0.4 11 19
0.35 0.4 10 19
0.4 0.4 10 19
0.45 0.4 9 19
0.5 0.4 9 19
0.55 0.4 9 20
0.6 0.4 8 20
0.65 0.4 8 20
0.7 0.4 8 20
0.75 0.4 8 19
0.8 0.4 8 20
0.85 0.4 8 20
0.9 0.4 8 20
0.95 0.4 7 20
1 0.4 7 20
0 0.45 5 10
0.05 0.45 7 11
0.1 0.45 10 13
0.15 0.45 12 16
0.2 0.45 13 18
0.25 0.45 12 19
0.3 0.45 11 19
0.35 0.45 11 19
0.4 0.45 10 19
0.45 0.45 9 19
0.5 0.45 9 19
0.55 0.45 9 19
0.6 0.45 8 20
0.65 0.45 8 19
0.7 0.45 8 19
0.75 0.45 8 20
0.8 0.45 8 20
0.85 0.45 8 20
0.9 0.45 8 20
0.95 0.45 7 20
1 0.45 7 20
0 0.5 5 11
0.05 0.5 6 11
0.1 0.5 9 13
0.15 0.5 12 16
0.2 0.5 12 17
0.25 0.5 12 18
0.3 0.5 12 19
0.35 0.5 11 19
0.4 0.5 10 19
0.45 0.5 10 19
0.5 0.5 9 19
0.55 0.5 9 19
0.6 0.5 9 20
0.65 0.5 8 19
0.7 0.5 8 20
0.75 0.5 8 20
0.8 0.5 8 20
0.85 0.5 8 20
0.9 0.5 8 20
0.95 0.5 8 20
1 0.5 7 20
0 0.55 5 12
0.05 0.55 6 12
0.1 0.55 8 13
0.15 0.55 10 15
0.2 0.55 11 17
0.25 0.55 12 18
0.3 0.55 11 19
0.35 0.55 11 19
0.4 0.55 10 19
0.45 0.55 10 19
0.5 0.55 9 19
0.55 0.55 9 19
0.6 0.55 9 19
0.65 0.55 9 19
0.7 0.55 8 20
0.75 0.55 8 20
0.8 0.55 8 20
0.85 0.55 8 20
0.9 0.55 8 20
0.95 0.55 8 20
1 0.55 8 20
0 0.6 5 13
0.05 0.6 6 13
0.1 0.6 8 14
0.15 0.6 10 16
0.2 0.6 11 17
0.25 0.6 11 17
0.3 0.6 11 19
0.35 0.6 11 19
0.4 0.6 10 19
0.45 0.6 10 19
