transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl    avg_num_of_people__have_been_sick
0 0 5 1 1
0.05 0 10.915 5.545 5.545
0.1 0 15.95 15.975 15.975
0.15 0 14.12 19.23 19.23
0.2 0 12.065 19.365 19.365
0.25 0 11.165 19.975 19.975
0.3 0 10.205 19.995 19.995
0.35 0 9.76 19.995 19.995
0.4 0 9.26 20 20
0.45 0 9.055 20 20
0.5 0 8.775 20 20
0.55 0 8.585 20 20
0.6 0 8.405 20 20
0.65 0 8.245 20 20
0.7 0 8.09 20 20
0.75 0 8.025 20 20
0.8 0 7.975 20 20
0.85 0 7.92 20 20
0.9 0 7.815 20 20
0.95 0 7.705 20 20
1 0 7.67 20 20
0 0.05 5 2 1
0.05 0.05 11.23 6.255 5.255
0.1 0.05 15.11 13.955 12.955
0.15 0.05 13.915 18.865 17.865
0.2 0.05 12.255 19.495 18.495
0.25 0.05 11.355 19.955 18.955
0.3 0.05 10.31 19.995 18.995
0.35 0.05 9.81 20 19
0.4 0.05 9.465 19.995 18.995
0.45 0.05 9.015 20 19
0.5 0.05 8.92 19.995 18.995
0.55 0.05 8.585 20 19
0.6 0.05 8.425 20 19
0.65 0.05 8.265 20 19
0.7 0.05 8.055 20 19
0.75 0.05 8.075 20 19
0.8 0.05 8.005 20 19
0.85 0.05 7.915 20 19
0.9 0.05 7.865 20 19
0.95 0.05 7.75 20 19
1 0.05 7.755 20 19
0 0.1 5 3 1
0.05 0.1 9.62 6 4
0.1 0.1 15.895 15.34 13.34
0.15 0.1 14.475 19.1 17.1
0.2 0.1 12.545 19.53 17.53
0.25 0.1 11.48 19.96 17.96
0.3 0.1 10.555 19.97 17.97
0.35 0.1 10.075 19.995 17.995
0.4 0.1 9.485 19.995 17.995
0.45 0.1 9.12 20 18
0.5 0.1 9.03 20 18
0.55 0.1 8.63 20 18
0.6 0.1 8.38 20 18
0.65 0.1 8.245 20 18
0.7 0.1 8.16 20 18
0.75 0.1 8.095 20 18
0.8 0.1 8 20 18
0.85 0.1 7.9 20 18
0.9 0.1 7.88 20 18
0.95 0.1 7.745 20 18
1 0.1 7.685 20 18
0 0.15 5 4 1
0.05 0.15 9.555 6.835 3.835
0.1 0.15 14.68 13.915 10.915
0.15 0.15 14.23 17.935 14.935
0.2 0.15 12.76 19.455 16.455
0.25 0.15 11.675 19.795 16.795
0.3 0.15 10.715 19.91 16.91
0.35 0.15 10.18 19.99 16.99
0.4 0.15 9.595 19.995 16.995
0.45 0.15 9.255 20 17
0.5 0.15 8.93 20 17
0.55 0.15 8.73 20 17
0.6 0.15 8.505 20 17
0.65 0.15 8.365 20 17
0.7 0.15 8.18 20 17
0.75 0.15 8.115 20 17
0.8 0.15 8.04 20 17
0.85 0.15 7.965 20 17
0.9 0.15 7.865 20 17
0.95 0.15 7.77 20 17
1 0.15 7.785 20 17
0 0.2 5 5 1
0.05 0.2 9.25 7.475 3.475
0.1 0.2 14.245 13.785 9.785
0.15 0.2 14.605 18 14
0.2 0.2 12.94 19.375 15.375
0.25 0.2 11.625 19.62 15.62
0.3 0.2 10.68 19.955 15.955
0.35 0.2 10.265 19.985 15.985
0.4 0.2 9.78 19.995 15.995
0.45 0.2 9.315 20 16
0.5 0.2 9.04 19.995 15.995
