transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl    avg_num_of_people__have_been_sick
0 0 5 1 1
0.05 0 19.81 22.795 22.795
0.1 0 27.72 159.02 159.02
0.15 0 21.505 186.26 186.26
0.2 0 18.15 197.405 197.405
0.25 0 15.935 199.525 199.525
0.3 0 14.425 199.87 199.87
0.35 0 13.325 199.96 199.96
0.4 0 12.595 199.995 199.995
0.45 0 12.03 200 200
0.5 0 11.43 199.995 199.995
0.55 0 11.16 200 200
0.6 0 10.865 200 200
0.65 0 10.53 200 200
0.7 0 10.24 200 200
0.75 0 10.115 200 200
0.8 0 10 200 200
0.85 0 9.86 200 200
0.9 0 9.715 200 200
0.95 0 9.49 200 200
1 0 9.24 200 200
0 0.05 5 5 1
0.05 0.05 19.74 27.665 23.665
0.1 0.05 28.095 158.46 154.46
0.15 0.05 22.13 190.7 186.7
0.2 0.05 18.215 197.145 193.145
0.25 0.05 15.94 198.525 194.525
0.3 0.05 14.4 199.825 195.825
0.35 0.05 13.525 199.945 195.945
0.4 0.05 12.6 199.975 195.975
0.45 0.05 12.02 199.99 195.99
0.5 0.05 11.55 200 196
0.55 0.05 11.14 200 196
0.6 0.05 10.875 200 196
0.65 0.05 10.555 200 196
0.7 0.05 10.315 200 196
0.75 0.05 10.15 200 196
0.8 0.05 10.045 200 196
0.85 0.05 9.91 200 196
0.9 0.05 9.745 200 196
0.95 0.05 9.53 200 196
1 0.05 9.38 200 196
0 0.1 5 9 1
0.05 0.1 17.285 24.745 16.745
0.1 0.1 27.935 156.155 148.155
0.15 0.1 22.365 189.975 181.975
0.2 0.1 18.285 197.13 189.13
0.25 0.1 16.19 199.45 191.45
0.3 0.1 14.72 199.785 191.785
0.35 0.1 13.495 199.975 191.975
0.4 0.1 12.75 199.98 191.98
0.45 0.1 12.095 200 192
0.5 0.1 11.63 200 192
0.55 0.1 11.235 200 192
0.6 0.1 10.91 200 192
0.65 0.1 10.59 200 192
0.7 0.1 10.355 200 192
0.75 0.1 10.15 200 192
0.8 0.1 10.05 200 192
0.85 0.1 9.955 200 192
0.9 0.1 9.765 200 192
0.95 0.1 9.575 200 192
1 0.1 9.39 200 192
0 0.15 5 13 1
0.05 0.15 20.115 34.755 22.755
0.1 0.15 27.17 144.995 132.995
0.15 0.15 21.93 186.32 174.32
0.2 0.15 18.435 195.23 183.23
0.25 0.15 16.185 198.395 186.395
0.3 0.15 14.64 199.79 187.79
0.35 0.15 13.63 199.935 187.935
0.4 0.15 12.805 199.985 187.985
0.45 0.15 12.13 199.995 187.995
0.5 0.15 11.7 199.995 187.995
0.55 0.15 11.29 200 188
0.6 0.15 10.93 200 188
0.65 0.15 10.64 200 188
0.7 0.15 10.4 200 188
0.75 0.15 10.215 200 188
0.8 0.15 10.06 200 188
0.85 0.15 9.985 200 188
0.9 0.15 9.825 200 188
0.95 0.15 9.65 200 188
1 0.15 9.425 200 188
0 0.2 5 17 1
0.05 0.2 14.43 28.73 12.73
0.1 0.2 27.525 147.43 131.43
0.15 0.2 22.465 187.205 171.205
0.2 0.2 18.72 195.73 179.73
0.25 0.2 16.61 199.15 183.15
0.3 0.2 14.895 199.76 183.76
0.35 0.2 13.88 199.92 183.92
0.4 0.2 12.955 199.985 183.985
0.45 0.2 12.3 199.99 183.99
0.5 0.2 11.665 199.995 183.995
0.55 0.2 11.32 200 184
0.6 0.2 11 200 184
0.65 0.2 10.7 200 184
0.7 0.2 10.455 200 184
0.75 0.2 10.27 200 184
0.8 0.2 10.085 200 184
0.85 0.2 10.045 200 184
0.9 0.2 9.86 200 184
0.95 0.2 9.69 200 184
1 0.2 9.45 200 184
0 0.25 5 21 1
0.05 0.25 17.54 34.565 14.565
0.1 0.25 30.075 157.295 137.295
0.15 0.25 22.615 186.925 166.925
0.2 0.25 18.65 196.61 176.61
0.25 0.25 16.4 199.25 179.25
0.3 0.25 15.03 199.78 179.78
0.35 0.25 13.95 199.91 179.91
0.4 0.25 13.075 199.96 179.96
0.45 0.25 12.36 200 180
0.5 0.25 11.8 200 180
0.55 0.25 11.4 200 180
0.6 0.25 11.115 200 180
0.65 0.25 10.775 200 180
0.7 0.25 10.51 200 180
0.75 0.25 10.275 200 180
0.8 0.25 10.115 200 180
0.85 0.25 9.975 200 180
0.9 0.25 9.94 200 180
0.95 0.25 9.72 200 180
1 0.25 9.62 200 180
0 0.3 5 25 1
0.05 0.3 14.265 35.56 11.56
0.1 0.3 27.755 143.265 119.265
0.15 0.3 23.09 185.55 161.55
0.2 0.3 19.055 195.635 171.635
0.25 0.3 16.48 199.135 175.135
0.3 0.3 15.08 199.69 175.69
0.35 0.3 13.935 199.88 175.88
0.4 0.3 13.16 199.97 175.97
0.45 0.3 12.465 199.985 175.985
0.5 0.3 11.865 200 176
0.55 0.3 11.53 199.995 175.995
0.6 0.3 11.14 200 176
0.65 0.3 10.835 200 176
0.7 0.3 10.565 200 176
0.75 0.3 10.295 200 176
0.8 0.3 10.16 200 176
0.85 0.3 10.085 200 176
0.9 0.3 9.96 200 176
0.95 0.3 9.8 200 176
1 0.3 9.535 200 176
0 0.35 5 29 1
0.05 0.35 14.95 39.73 11.73
0.1 0.35 29.155 144.62 116.62
0.15 0.35 23.42 185.195 157.195
0.2 0.35 19.155 194.615 166.615
0.25 0.35 17.04 199.075 171.075
0.3 0.35 15.165 199.67 171.67
0.35 0.35 14.085 199.865 171.865
0.4 0.35 13.11 199.965 171.965
0.45 0.35 12.535 199.995 171.995
0.5 0.35 11.97 199.99 171.99
0.55 0.35 11.56 200 172
0.6 0.35 11.195 200 172
0.65 0.35 10.935 200 172
0.7 0.35 10.645 200 172
0.75 0.35 10.34 200 172
0.8 0.35 10.21 200 172
0.85 0.35 10.125 200 172
0.9 0.35 9.955 200 172
0.95 0.35 9.855 200 172
1 0.35 9.7 200 172
0 0.4 5 33 1
0.05 0.4 13.145 40.925 8.925
0.1 0.4 29.97 146.825 114.825
0.15 0.4 23.195 183.98 151.98
0.2 0.4 19.545 195.845 163.845
0.25 0.4 16.9 198.035 166.035
0.3 0.4 15.515 199.595 167.595
0.35 0.4 14.155 199.845 167.845
0.4 0.4 13.235 199.98 167.98
0.45 0.4 12.67 199.965 167.965
0.5 0.4 12.115 199.99 167.99
0.55 0.4 11.655 200 168
0.6 0.4 11.245 199.995 167.995
0.65 0.4 10.97 200 168
0.7 0.4 10.665 200 168
0.75 0.4 10.435 200 168
0.8 0.4 10.28 200 168
0.85 0.4 10.065 200 168
0.9 0.4 9.985 200 168
0.95 0.4 9.865 200 168
1 0.4 9.775 200 168
0 0.45 5 37 1
0.05 0.45 12.22 43.965 7.965
0.1 0.45 28.425 135.215 99.215
0.15 0.45 23.595 182.095 146.095
0.2 0.45 20.01 195.09 159.09
