transfer_probability    inoculation_fraction    avg_steps    avg_stable_ppl    avg_num_of_people__have_been_sick
0 0 5 1 1
0.05 0 29.085 62.6 62.6
0.1 0 32.73 411.92 411.92
0.15 0 24.07 477.43 477.43
0.2 0 20.295 493.145 493.145
0.25 0 17.525 496.325 496.325
0.3 0 16.04 499.6 499.6
0.35 0 14.735 499.905 499.905
0.4 0 13.805 499.975 499.975
0.45 0 13.125 500 500
0.5 0 12.48 499.995 499.995
0.55 0 12.135 500 500
0.6 0 11.71 500 500
0.65 0 11.355 500 500
0.7 0 11.09 500 500
0.75 0 10.945 500 500
0.8 0 10.745 500 500
0.85 0 10.535 500 500
0.9 0 10.15 500 500
0.95 0 10.065 500 500
1 0 10.045 500 500
0 0.05 5 26 1
0.05 0.05 24.425 65.475 40.475
0.1 0.05 31.75 371.435 346.435
0.15 0.05 24.725 464.495 439.495
0.2 0.05 20.52 488.185 463.185
0.25 0.05 18.105 498.495 473.495
0.3 0.05 16.25 499.49 474.49
0.35 0.05 15.025 499.835 474.835
0.4 0.05 14 499.97 474.97
0.45 0.05 13.23 499.995 474.995
0.5 0.05 12.825 500 475
0.55 0.05 12.21 500 475
0.6 0.05 11.865 500 475
0.65 0.05 11.56 500 475
0.7 0.05 11.24 500 475
0.75 0.05 11.05 500 475
0.8 0.05 10.885 500 475
0.85 0.05 10.615 500 475
0.9 0.05 10.405 500 475
0.95 0.05 10.17 500 475
1 0.05 10.055 500 475
0 0.1 5 51 1
0.05 0.1 19.785 72.86 22.86
0.1 0.1 32.365 365.405 315.405
0.15 0.1 25.48 464.475 414.475
0.2 0.1 21.34 489.15 439.15
0.25 0.1 18.64 497.79 447.79
0.3 0.1 16.57 496.975 446.975
0.35 0.1 15.29 499.775 449.775
0.4 0.1 14.39 499.935 449.935
0.45 0.1 13.49 499.98 449.98
0.5 0.1 12.9 499.99 449.99
0.55 0.1 12.5 500 450
0.6 0.1 12.01 500 450
0.65 0.1 11.675 500 450
0.7 0.1 11.385 500 450
0.75 0.1 11.135 500 450
0.8 0.1 11.05 500 450
0.85 0.1 10.765 500 450
0.9 0.1 10.455 500 450
0.95 0.1 10.27 500 450
1 0.1 10.12 500 450
0 0.15 5 76 1
0.05 0.15 15.765 88.82 13.82
0.1 0.15 34.68 369.845 294.845
0.15 0.15 26.575 460.035 385.035
0.2 0.15 22.12 490.25 415.25
0.25 0.15 18.94 497.61 422.61
0.3 0.15 17.125 499.105 424.105
0.35 0.15 15.635 499.71 424.71
0.4 0.15 14.72 499.9 424.9
0.45 0.15 13.84 499.96 424.96
0.5 0.15 13.195 499.99 424.99
0.55 0.15 12.69 499.995 424.995
0.6 0.15 12.285 499.995 424.995
0.65 0.15 11.885 500 425
0.7 0.15 11.485 500 425
0.75 0.15 11.22 500 425
0.8 0.15 11.075 500 425
0.85 0.15 10.925 500 425
0.9 0.15 10.72 500 425
0.95 0.15 10.48 500 425
1 0.15 10.23 500 425
0 0.2 5 101 1
0.05 0.2 12.01 107.985 7.985
0.1 0.2 34.265 337.81 237.81
0.15 0.2 27.58 454.205 354.205
0.2 0.2 22.825 488.54 388.54
0.25 0.2 19.62 492.64 392.64
0.3 0.2 17.4 498.835 398.835
0.35 0.2 16.19 499.5 399.5
0.4 0.2 14.92 499.745 399.745
0.45 0.2 14.265 499.92 399.92
0.5 0.2 13.55 499.965 399.965
0.55 0.2 12.95 500 400
0.6 0.2 12.42 499.99 399.99
0.65 0.2 12.06 500 400
0.7 0.2 11.815 500 400
0.75 0.2 11.49 500 400
0.8 0.2 11.27 500 400
0.85 0.2 11.085 500 400
0.9 0.2 10.91 500 400
0.95 0.2 10.63 500 400
1 0.2 10.43 500 400
0 0.25 5 126 1
